ID,Latitude,Longitude,HillslopeSetting,ImagerySource
LS000415,34.460712,-119.634148,Unmodified,USGS
LS000416,34.461906,-119.636040,Unmodified,USGS
LS000417,34.461521,-119.636230,Unmodified,USGS
LS000418,34.461296,-119.636932,Unmodified,USGS
LS000419,34.462322,-119.635773,Unmodified,USGS
LS000420,34.462227,-119.635353,Unmodified,USGS
LS000421,34.460938,-119.637360,-9999,USGS
LS000422,34.462418,-119.637802,Unmodified,USGS
LS000423,34.462467,-119.637848,Unmodified,USGS
LS000424,34.462433,-119.637947,Unmodified,USGS
LS000425,34.461674,-119.638435,Modified,USGS
LS000426,34.461250,-119.638351,Modified,USGS
LS000427,34.461193,-119.638153,Modified,USGS
LS000428,34.461201,-119.638054,Modified,USGS
LS000429,34.461430,-119.640846,Unmodified,USGS
LS000430,34.461388,-119.645172,Unmodified,USGS
LS000431,34.461781,-119.645729,Unmodified,USGS
LS000432,34.464546,-119.647957,Unmodified,USGS
LS000433,34.462757,-119.646217,Unmodified,USGS
LS000434,34.463058,-119.645195,Unmodified,USGS
LS000435,34.460415,-119.649605,Modified,USGS
LS000436,34.459435,-119.648445,Unmodified,USGS
LS000437,34.459415,-119.648209,Unmodified,USGS
LS000438,34.460915,-119.643448,Unmodified,USGS
LS000439,34.460930,-119.642830,Unmodified,USGS
LS000440,34.459881,-119.637650,Unmodified,USGS
LS000441,34.460541,-119.637337,Modified,USGS
LS000442,34.460323,-119.637146,Modified,USGS
LS000443,34.458740,-119.634918,Modified,USGS
LS000444,34.458553,-119.634789,Modified,USGS
LS000445,34.458637,-119.634041,Modified,USGS
LS000446,34.458443,-119.633652,Modified,USGS
LS000447,34.459061,-119.632965,-9999,USGS
LS000448,34.459240,-119.632706,Modified,USGS
LS000449,34.459782,-119.632294,Unmodified,USGS
LS000450,34.459373,-119.630409,Unmodified,USGS
LS000451,34.459030,-119.629784,Unmodified,USGS
LS000452,34.459126,-119.628708,Unmodified,USGS
LS000453,34.459160,-119.628494,Unmodified,USGS
LS000454,34.459175,-119.628319,Unmodified,USGS
LS000455,34.459198,-119.625450,Unmodified,USGS
LS000456,34.459236,-119.625305,Unmodified,USGS
LS000457,34.459148,-119.627113,Unmodified,USGS
LS000458,34.459145,-119.622009,Unmodified,USGS
LS000459,34.459316,-119.620415,Unmodified,USGS
LS000460,34.459095,-119.620361,Unmodified,USGS
LS000461,34.459003,-119.620010,Unmodified,USGS
LS000462,34.458977,-119.619568,Unmodified,USGS
LS000463,34.458942,-119.619370,Unmodified,USGS
LS000464,34.458706,-119.620171,Unmodified,USGS
LS000465,34.458687,-119.620125,Unmodified,USGS
LS000466,34.459236,-119.618469,Unmodified,USGS
LS000467,34.458839,-119.617607,Unmodified,USGS
LS000468,34.458725,-119.616936,Unmodified,USGS
LS000469,34.458107,-119.614754,Unmodified,USGS
LS000470,34.457832,-119.615028,Unmodified,USGS
LS000471,34.457645,-119.615120,Unmodified,USGS
LS000472,34.457939,-119.613663,Unmodified,USGS
LS000473,34.457973,-119.612717,Unmodified,USGS
LS000474,34.456745,-119.616280,Modified,USGS
LS000475,34.457790,-119.618233,-9999,USGS
LS000476,34.456944,-119.621826,Modified,USGS
LS000477,34.456985,-119.624908,Modified,USGS
LS000478,34.458466,-119.627205,Unmodified,USGS
LS000479,34.457821,-119.629784,Modified,USGS
LS000480,34.457924,-119.629898,Modified,USGS
LS000481,34.457661,-119.641052,Unmodified,USGS
LS000482,34.457851,-119.643112,Unmodified,USGS
LS000483,34.456734,-119.642471,Unmodified,USGS
LS000484,34.456360,-119.641960,Unmodified,USGS
LS000485,34.457458,-119.645622,Unmodified,USGS
LS000486,34.456909,-119.645134,Unmodified,USGS
LS000487,34.458130,-119.645905,Unmodified,USGS
LS000488,34.456718,-119.649811,Unmodified,USGS
LS000489,34.456806,-119.646858,Unmodified,CAP
LS000490,34.455734,-119.642075,Unmodified,USGS
LS000491,34.455662,-119.641846,Unmodified,USGS
LS000492,34.453934,-119.628365,Modified,USGS
LS000493,34.453819,-119.630219,Unmodified,USGS
LS000494,34.453255,-119.627342,Unmodified,USGS
LS000495,34.453091,-119.627914,Unmodified,USGS
LS000496,34.452843,-119.617065,Unmodified,CAP
LS000497,34.454510,-119.616005,Unmodified,USGS
LS000498,34.452320,-119.613434,Unmodified,USGS
LS000499,34.452244,-119.614944,Unmodified,USGS
LS000500,34.452366,-119.614532,Unmodified,USGS
LS000501,34.452106,-119.615486,Unmodified,USGS
LS000502,34.451595,-119.616257,Unmodified,USGS
LS000503,34.451775,-119.616203,Unmodified,USGS
LS000504,34.451992,-119.619225,Unmodified,USGS
LS000505,34.452225,-119.619553,Unmodified,USGS
LS000506,34.452808,-119.630386,Modified,USGS
LS000507,34.454987,-119.635269,Unmodified,USGS
LS000508,34.454926,-119.635078,Unmodified,USGS
LS000509,34.454918,-119.635147,Unmodified,USGS
LS000510,34.457439,-119.634987,Modified,USGS
LS000511,34.454514,-119.648849,Modified,USGS
LS000512,34.452103,-119.630569,Unmodified,USGS
LS000513,34.451374,-119.630859,Unmodified,USGS
LS000514,34.450386,-119.619675,Unmodified,USGS
LS000515,34.478786,-119.635567,Unmodified,USGS
LS000516,34.479527,-119.624062,Unmodified,USGS
LS000517,34.478584,-119.613579,Modified,USGS
LS000518,34.476517,-119.612518,Unmodified,USGS
LS000519,34.464966,-119.640129,Unmodified,USGS
LS000520,34.464886,-119.639977,Unmodified,USGS
LS000521,34.464333,-119.621613,Unmodified,USGS
LS000522,34.460613,-119.618919,Unmodified,USGS
LS000523,34.459843,-119.618156,Unmodified,USGS
LS000524,34.459385,-119.641541,Unmodified,USGS
LS000525,34.456360,-119.633095,Unmodified,USGS
LS000526,34.456043,-119.629021,Modified,USGS
LS000527,34.492424,-119.590508,Unmodified,CAP
LS000528,34.492691,-119.590141,Unmodified,CAP
LS000529,34.492188,-119.588432,Unmodified,CAP
LS000530,34.493599,-119.593948,Unmodified,CAP
LS000531,34.493134,-119.593361,Unmodified,CAP
LS000532,34.493198,-119.593475,Unmodified,CAP
LS000533,34.488907,-119.573547,Unmodified,CAP
LS000534,34.489803,-119.573761,Unmodified,CAP
LS000535,34.490456,-119.575302,Unmodified,CAP
LS000536,34.492252,-119.588783,Unmodified,CAP
LS000537,34.476177,-119.574287,Modified,USGS
LS000538,34.476006,-119.574707,Modified,USGS
LS000539,34.475960,-119.574821,Modified,USGS
LS000540,34.474621,-119.600426,Unmodified,USGS
LS000541,34.474491,-119.601303,Unmodified,USGS
LS000542,34.473602,-119.603554,Unmodified,USGS
LS000543,34.473736,-119.603416,Modified,USGS
