slope,curvature,twi,lithology,landcover,fault_distance,rainfall,fire_history,label,x,y
0.026995550841093063,0.5279167890548706,0.17807231843471527,0.75,0.5,0.0,0.339131623506546,0.25,0,227136.48219154213,3864989.9033511253
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.28584805130958557,0.0,0,247907.20065710068,3807677.9209119747
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.19068734347820282,0.0,0,163074.26625973274,3864489.886055373
0.0,0.5280503630638123,0.2767636775970459,0.5,0.5,0.0,0.1362350881099701,0.0,0,189245.17151941822,3768236.5566230183
0.36926883459091187,0.53291255235672,0.10239023715257645,0.75,0.0,0.0,0.5589385032653809,0.25,0,252297.35251380756,3819528.330821309
0.024932630360126495,0.5270494222640991,0.18773776292800903,0.75,0.5,0.0,0.32368791103363037,0.0,0,229056.54860723167,3814368.152329143
0.3504064083099365,0.5163171887397766,0.11322937160730362,0.75,0.5,0.0,0.5152760744094849,0.75,0,241396.9754664032,3832358.774630318
0.3814014792442322,0.5280060172080994,0.11614292114973068,0.75,0.0,1.0,0.3336479663848877,0.0,0,182774.94771238096,3824418.4999737684
0.14423401653766632,0.5277529954910278,0.14048299193382263,0.75,0.5,0.0,0.24762418866157532,0.0,0,197875.47004410625,3853399.5024355827
0.27088662981987,0.5304340720176697,0.12379667162895203,0.75,0.5,0.25,0.3123108446598053,0.0,0,216986.13108776652,3839829.03302886
0.08577966690063477,0.5618120431900024,0.15381240844726562,0.75,0.0,0.5,0.42458993196487427,0.0,0,228196.5188585374,3829308.6691262275
0.07570517808198929,0.52724689245224,0.15951663255691528,0.75,0.5,0.0,0.20910130441188812,0.0,0,186785.08642431596,3841589.093909909
0.3818631172180176,0.5258151292800903,0.11709687113761902,0.75,0.5,0.0,0.20607395470142365,0.0,0,265527.81015941856,3767746.539673181
0.448576420545578,0.5257890820503235,0.1065627783536911,0.75,0.0,0.0,0.2919277250766754,0.75,0,170464.52189095458,3833208.804033097
0.007907846011221409,0.5281253457069397,0.216205433011055,0.75,0.5,0.25,0.3049725294113159,0.0,0,242447.01178748344,3814088.1426435215
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.2965174615383148,0.0,0,224896.40470657093,3812558.0897185192
0.1276310235261917,0.5173158645629883,0.1411718726158142,0.75,0.5,0.0,0.41643035411834717,0.0,0,229416.56106017347,3837078.9379022215
0.016672931611537933,0.5278599262237549,0.1948186457157135,0.75,0.5,0.75,0.3955792486667633,0.0,0,197375.45274835374,3825058.5221123314
0.0,0.5280503630638123,0.2767649292945862,0.5,0.5,0.0,0.1424599438905716,0.0,0,231896.64684710585,3778706.9187960755
0.11132068186998367,0.5222476720809937,0.11825386434793472,0.75,0.5,0.25,0.6972124576568604,0.0,0,243337.04257392287,3840579.0589724886
0.0024045901373028755,0.5280379056930542,0.24475345015525818,0.75,0.5,0.5,0.20581071078777313,0.0,0,180014.8522398272,3878140.358229416
0.41646808385849,0.5279850363731384,0.10677050799131393,0.75,0.5,0.75,0.29318878054618835,0.0,0,209075.8574689621,3872630.1676302236
0.01939540170133114,0.529118001461029,0.19376309216022491,0.75,0.5,0.0,0.19151124358177185,0.0,0,178694.80657904063,3844849.206678215
0.4318196475505829,0.5288878679275513,0.10749100893735886,0.75,0.5,0.0,0.3039211928844452,1.0,0,200705.56793806536,3873480.197033003
0.4543526768684387,0.5249747633934021,0.09809571504592896,0.75,0.0,0.0,0.6467289924621582,0.0,0,266377.8395621978,3826728.579880145
0.0,0.5280503630638123,0.2767636775970459,0.5,0.5,0.0,0.13969142735004425,0.0,0,193245.30988543815,3772666.709863385
0.1996440887451172,0.528517484664917,0.13250041007995605,0.75,0.0,0.0,0.326689749956131,0.0,0,192185.27321844286,3833048.7984984564
